Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities28 Apr 2022All datapoints provided as of end of last active trading day.1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;30.00;30.00;30.00;30.00;"27/04/2022 11:40";CET;108;3240.00
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;4.745;4.775;4.60;4.66;"27/04/2022 17:21";CET;8256;38930.97
"2MX ORGANIC";FR0014000T90;2MX;"Euronext Paris";EUR;9.88;9.90;9.84;9.86;"27/04/2022 15:56";CET;49614;490170.04
"2MX ORGANIC BS";FR0014000TB2;2MXBS;"Euronext Paris";EUR;0.23;0.23;0.23;0.23;"08/04/2022 14:47";CET;5000;1150.00
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1.48;1.48;1.35;1.35;"13/11/2019 16:53";CET;378;521.87
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;3.66;3.75;3.66;3.75;"27/04/2022 16:18";CET;466;1729.86
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;10.47;10.59;10.29;10.29;"27/04/2022 17:35";CET;24346;253346.43
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7.30;7.40;7.27;7.36;"27/04/2022 17:35";CET;19633;144319.27
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;16.85;17.00;16.70;16.70;"27/04/2022 16:04";CET;495;8337.45
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.97;1.974;1.92;1.95;"27/04/2022 17:35";CET;86162;167001.66
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;20.95;20.95;19.34;19.34;"27/04/2022 17:35";CET;7615;152148.25
"ABL Diagnostics";FR0000063034;ABLD;"Euronext Paris";EUR;24.60;24.60;24.60;24.60;"27/04/2022 16:31";CET;60;1476.00
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.35;5.40;5.25;5.25;"27/04/2022 17:10";CET;675;3617.50
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.48;0.48;0.48;0.48;"26/04/2022 14:33";CET;52;24.96
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;29.66;30.51;29.47;30.34;"27/04/2022 17:35";CET;674102;20362293.67
"ACCOR AC SHARES";FR0014003PZ3;AAC;"Euronext Paris";EUR;9.88;9.88;9.88;9.88;"31/03/2022 14:23";CET;150;1482.00
"ACCOR AC WARRANTS";FR0014003QK3;AACW;"Euronext Paris";EUR;0.14;0.14;0.14;0.14;"01/04/2022 16:16";CET;1200;168.00
ACHETER-LOUER.FR;FR00140072P8;ALALO;"Euronext Growth Paris";EUR;0.0013;0.0014;0.0012;0.0014;"27/04/2022 17:25";CET;15077846;20024.95
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.60;1.625;1.59;1.625;"27/04/2022 16:14";CET;3394;5451.83
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;3.89;3.94;3.79;3.94;"27/04/2022 17:35";CET;7376;28580.99
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;7.60;7.60;7.60;7.60;"27/04/2022 17:10";CET;498;3784.80
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.28;1.28;1.28;1.28;"27/04/2022 16:30";CET;100;128.00
ADA;FR0000053076;ALADA;"Euronext Growth Paris";EUR;11.60;11.60;11.50;11.50;"27/04/2022 11:31";CET;12;138.10
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.085;0.085;0.0825;0.0825;"26/04/2022 16:30";CET;9672;809.63
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;2.75;2.78;2.66;2.74;"27/04/2022 16:10";CET;5295;14336.56
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;4.545;4.55;4.42;4.50;"27/04/2022 17:35";CET;15851;71190.85
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0.034;0.034;0.0306;0.0332;"27/04/2022 17:19";CET;651935;20909.69
ADP;FR0010340141;ADP;"Euronext Paris";EUR;142.00;143.30;138.35;139.65;"27/04/2022 17:35";CET;69324;9693083.75
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1.82;1.82;1.80;1.80;"27/04/2022 13:30";CET;620;1120.02
ADVENIS;FR0004152874;ALADV;"Euronext Growth Paris";EUR;2.78;2.78;2.78;2.78;"26/04/2022 13:15";CET;3010;8367.80
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;5.15;5.15;4.89;5.11;"27/04/2022 17:35";CET;34286;172390.52
ADVINI;FR0000053043;ADVI;"Euronext Paris";EUR;19.40;19.40;18.80;19.40;"27/04/2022 13:07";CET;121;2318.80
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;13.50;13.56;13.42;13.56;"27/04/2022 14:14";CET;155;2095.68
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;8.00;8.00;8.00;8.00;"25/04/2022 10:13";CET;20;160.00
"AFFLUENT MEDICAL";FR0013333077;AFME;"Euronext Paris";EUR;4.29;4.30;4.28;4.30;"27/04/2022 16:46";CET;322;1380.11
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;8.06;8.07;8.01;8.06;"27/04/2022 17:10";CET;718;5769.57
AG3I;FR0011908045;MLAGI;"Euronext Access Paris";EUR;0.31;0.31;0.31;0.31;"27/12/2021 11:30";CET;74;22.94
"AGENCE AUTO";FR0014005WE9;MLAA;"Euronext Access Paris";EUR;3.10;3.10;3.10;3.10;"19/04/2022 11:30";CET;84;260.40
"AGP MALAGA SOCIMI";ES0105478004;MLAGP;"Euronext Access Paris";EUR;2.95;2.95;2.95;2.95;"23/11/2020 11:52";CET;2000;5900.00
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;8.80;8.90;8.66;8.89;"27/04/2022 16:01";CET;3089;27234.92
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0.105;0.106;0.1022;0.104;"27/04/2022 17:29";CET;241405;25000.00
"AIR FRANCE -KLM";FR0000031122;AF;"Euronext Paris, Amsterdam";EUR;3.952;3.998;3.87;3.932;"27/04/2022 17:35";CET;3306414;12978065.43
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;161.02;162.80;159.48;162.30;"27/04/2022 17:36";CET;692057;111647741.26
"AIR MARINE";FR0013285103;MLAIM;"Euronext Access Paris";EUR;1.89;1.89;1.89;1.89;"25/04/2022 11:30";CET;111;209.79
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;102.10;102.96;100.56;102.12;"27/04/2022 17:35";CET;1369774;139589132.10
AIRTIME;IT0005450819;ALAIR;"Euronext Growth Paris";EUR;37.80;37.80;37.80;37.80;"26/04/2022 14:51";CET;10;378.00
AIRWELL;FR0014003V77;MLAIR;"Euronext Access Paris";EUR;3.70;3.70;3.70;3.70;"25/04/2022 11:30";CET;249;921.30
