symbol,shortName,longName,exchange,market
AAPL,apple,Apple Inc.,NASDAQ,US
MSFT,microsoft,Microsoft Corporation,NASDAQ,US
GOOG,alphabet,Alphabet Inc.,NASDAQ,US
GOOGL,alphabet,Alphabet Inc.,NASDAQ,US
AMZN,amazon,"Amazon.com, Inc.",NASDAQ,US
TSLA,tesla,"Tesla, Inc.",NASDAQ,US
FB,meta-platforms,"Meta Platforms, Inc.",NASDAQ,US
BRK.B,berkshire-hathaway,Berkshire Hathaway Inc. New,NYSE,US
BRK.A,berkshire-hathaway,Berkshire Hathaway Inc.,NYSE,US
NVDA,nvidia,NVIDIA Corporation,NASDAQ,US
TSM,taiwan-semiconductor,Taiwan Semiconductor Manufacturing Company Ltd.,NYSE,US
JPM,jpmorgan-chase,JP Morgan Chase & Co.,NYSE,US
JNJ,johnson-and-johnson,Johnson & Johnson,NYSE,US
V,visa,Visa Inc.,NYSE,US
UNH,unitedhealth,UnitedHealth Group Incorporated,NYSE,US
HD,home-depot,"Home Depot, Inc. (The)",NYSE,US
BAC,bank-of-america,Bank of America Corporation,NYSE,US
WMT,walmart,Walmart Inc.,NYSE,US
PG,procter-and-gamble,Procter & Gamble Company (The),NYSE,US
MA,mastercard,Mastercard Incorporated,NYSE,US
RHHBY,roche,Roche Holding Ltd,OTC,US
BABA,alibaba,Alibaba Group Holding Limited,NYSE,US
RHHVF,roche,Roche Holding Ltd,OTC,US
RHHBF,roche,Roche Holding Ltd,OTC,US
PFE,pfizer,"Pfizer, Inc.",NYSE,US
ASML,asml,ASML Holding N.V. - New York Registry Shares,NASDAQ,US
XOM,exxon,Exxon Mobil Corporation,NYSE,US
DIS,walt-disney,Walt Disney Company (The),NYSE,US
TM,toyota,Toyota Motor Corporation,NYSE,US
KO,coca-cola,Coca-Cola Company (The),NYSE,US
CSCO,cisco,"Cisco Systems, Inc.",NASDAQ,US
AVGO,broadcom,Broadcom Inc.,NASDAQ,US
LLY,eli-lilly,Eli Lilly and Company,NYSE,US
NKE,nike,"Nike, Inc.",NYSE,US
ACN,accenture,Accenture plc,NYSE,US
ADBE,adobe,Adobe Inc.,NASDAQ,US
CVX,chevron,Chevron Corporation,NYSE,US
PEP,pepsico,"PepsiCo, Inc.",NASDAQ,US
ABT,abbott,Abbott Laboratories,NYSE,US
NFLX,netflix,"Netflix, Inc.",NASDAQ,US
TMO,thermo-fisher-scientific,Thermo Fisher Scientific Inc,NYSE,US
ABBV,abbvie,AbbVie Inc.,NYSE,US
COST,costco-wholesale,Costco Wholesale Corporation,NASDAQ,US
ORCL,oracle,Oracle Corporation,NYSE,US
NVO,novo-nordisk,Novo Nordisk A/S,NYSE,US
CMCSA,comcast,Comcast Corporation,NASDAQ,US
CRM,salesforce-com,Salesforce.com Inc,NYSE,US
VZ,verizon,Verizon Communications Inc.,NYSE,US
PYPL,paypal,"PayPal Holdings, Inc.",NASDAQ,US
WFC,wells-fargo,Wells Fargo & Company,NYSE,US
INTC,intel,Intel Corporation,NASDAQ,US
DHR,danaher,Danaher Corporation,NYSE,US
MRK,merck-and-co,"Merck & Company, Inc.",NYSE,US
QCOM,qualcomm,QUALCOMM Incorporated,NASDAQ,US
MCD,mcdonalds,McDonald's Corporation,NYSE,US
NVS,novartis,Novartis AG,NYSE,US
UPS,united-parcel,"United Parcel Service, Inc.",NYSE,US
T,at-and-t,AT&T Inc.,NYSE,US
MS,morgan-stanley,Morgan Stanley,NYSE,US
RDS.A,shell,Royal Dutch Shell PLC Royal Dutch Shell,NYSE,US
RDS.B,shell,Royal Dutch Shell PLC,NYSE,US
AZN,astrazeneca,AstraZeneca PLC,NASDAQ,US
SCHW,schwab,Charles Schwab Corporation (The),NYSE,US
LIN,linde,Linde plc,NYSE,US
NEE,nextera-energy,"NextEra Energy, Inc.",NYSE,US
LOW,lowe-s,"Lowe's Companies, Inc.",NYSE,US
TXN,texas-instruments,Texas Instruments Incorporated,NASDAQ,US
UNP,union-pacific,Union Pacific Corporation,NYSE,US
SAP,sap,SAP SE,NYSE,US
INTU,intuit,Intuit Inc.,NASDAQ,US
RY,royal-bank-of-canada,Royal Bank Of Canada,NYSE,US
AMD,advanced-micro-devices,"Advanced Micro Devices, Inc.",NASDAQ,US
BHP,bhp,BHP Group Limited,NYSE,US
BBL,bhp,BHP Group PlcSponsored,NYSE,US
SONY,sony,Sony Group Corporation,NYSE,US
PM,philip-morris,Philip Morris International Inc,NYSE,US
HON,honeywell,Honeywell International Inc.,NASDAQ,US
TD,toronto-dominion-bank,Toronto Dominion Bank (The),NYSE,US
PTR,petrochina,PetroChina Company Limited,NYSE,US
SHOP,shopify,Shopify Inc.,NYSE,US
MDT,medtronic,Medtronic plc.,NYSE,US
BX,blackstone,Blackstone Inc.,NYSE,US
BMY,bristol-myers-squibb,Bristol-Myers Squibb Company,NYSE,US
TTE,total,TotalEnergies SE,NYSE,US
CVS,cvs-health,CVS Health Corporation,NYSE,US
TMUS,t-mobile,"T-Mobile US, Inc.",NASDAQ,US
UL,unilever,Unilever PLC,NYSE,US
BLK,blackrock,"BlackRock, Inc.",NYSE,US
RTX,raytheon,Raytheon Technologies Corporation,NYSE,US
AXP,american-express,American Express Company,NYSE,US
AMAT,applied-materials,"Applied Materials, Inc.",NASDAQ,US
GS,goldman-sachs,"Goldman Sachs Group, Inc. (The)",NYSE,US
HSBC,hsbc,"HSBC Holdings, plc.",NYSE,US
C,citigroup,"Citigroup, Inc.",NYSE,US
AMGN,amgen,Amgen Inc.,NASDAQ,US
EL,estee-lauder,"Estee Lauder Companies, Inc. (The)",NYSE,US
BUD,anheuser-busch-inbev,Anheuser-Busch Inbev SA Sponsored,NYSE,US
BA,boeing,Boeing Company (The),NYSE,US
SNY,sanofi,Sanofi,NASDAQ,US
